source	target	value
U of Utrecht	U of Utrecht	2
U of Utrecht	Boston Children's Hospital	2
U of Utrecht	Utrecht U	5
Creighton U	Creighton U	2
Creighton U	Taskstream	1
Creighton U	Arizona State U	2
U degli Studi di Bergamo	Catholic U of Milan	1
U degli Studi di Bergamo	U Milano Bicocca	1
U degli Studi di Bergamo	U of Zagreb	3
U degli Studi di Bergamo	U degli Studi di Bergamo	1
U degli Studi di Bergamo	Universita' Cattolica del Sacro Cuore	1
Shanghai Jiao Tong U	West Virginia U	2
Shanghai Jiao Tong U	Shanghai Jiao Tong U	4
Carleton U	Rutgers U	2
Carleton U	Carleton U	2
New School of Public Engagement	New School of Public Engagement	1
New School of Public Engagement	Texas A and M U	1
Roanoke College	Roanoke College	1
Massachusetts General Hospital	Emerson College	1
Massachusetts General Hospital	Massachusetts General Hospital	1
Massachusetts General Hospital	Northeastern U	1
Massachusetts General Hospital	U of Pennsylvania	5
SciencesCom - Audencia Group	Warsaw U	1
SciencesCom - Audencia Group	Bournemouth U	2
SciencesCom - Audencia Group	SciencesCom - Audencia Group	2
SciencesCom - Audencia Group	U of Wisconsin-Madison	2
Fayetteville State U	Fayetteville State U	1
U of Texas	U of Texas	13
U of Texas	U of Texas at Austin	4
U of Texas	U of Erfurt	1
U of Texas	Indiana U	6
U of Texas	The U of Texas at Austin	4
U of Texas	U of Texas - Brownsville	2
U of Texas	U of Washington	2
U of Texas	Columbia U	2
U of Texas	U of Texas - Austin	5
Stockholm U	Stockholm U	4
College of Charleston	College of Charleston	3
College of Charleston	U of Oregon	1
College of Charleston	North Carolina State U	1
Florida International U	Michigan State U	4
Florida International U	Florida International U	24
Florida International U	Towson U	1
Florida International U	St. Norbert College	1
Florida International U	Federation of Families - Miami-Dade County	1
U Ramon Llull	U Libre de Bruxelles	1
U Ramon Llull	U de Málaga	1
U Ramon Llull	U Ramon Llull	1
Murray State U	Clemson U	1
Murray State U	U of Tennessee	1
Murray State U	Murray State U	1
Xavier U of Louisiana	Xavier U of Louisiana	1
Middle Tennessee State U	James Madison U	2
Middle Tennessee State U	Middle Tennessee State U	2
Syracuse U	West Virginia U	1
Syracuse U	U of Southern California	5
Syracuse U	U of Florida	4
Syracuse U	Hofstra U	1
Syracuse U	U of Oklahoma	2
Syracuse U	Rensselaer Polytechnic Institute	1
Syracuse U	Temple U	1
Syracuse U	SungKyunKwan U	2
Syracuse U	Syracuse U	80
Syracuse U	Marist College	2
Syracuse U	1st Playable Productions	1
Syracuse U	U of Kansas	1
Syracuse U	Colorado State U	6
Syracuse U	U of Arizona	1
Syracuse U	U of Iowa	1
Syracuse U	Penn State U	2
Syracuse U	Montclair State U	2
Syracuse U	U at Albany SUNY	1
Syracuse U	U at Albany - SUNY	1
Nielsen Korea	Nielsen Korea	1
Nielsen Korea	Iowa State U	1
Nielsen Korea	Seoul National U	2
Centre for Interdisciplinary Studies in Society and Culture Concordia U	Centre for Interdisciplinary Studies in Society and Culture Concordia U	1
Centre for Interdisciplinary Studies in Society and Culture Concordia U	Communication U of China	1
TU Dresden	TU Dresden	17
TU Dresden	Technische Universitt Dresden	4
Rochester Institute of Technology	Rochester Institute of Technology	6
Rochester Institute of Technology	Florida State U	2
Queensland U of Technology	LMU Munich	2
Queensland U of Technology	ARC Centre of Excellence for Creative Industries and Innovation Queensland U of Technology	1
Queensland U of Technology	U of Queensland	3
Queensland U of Technology	Queensland U of Technology	36
Central Michigan U	Central Michigan U	4
Central Michigan U	U of Missouri	2
NOVA / WGBH Boston	NOVA / WGBH Boston	2
The U of Michigan	The U of Michigan	1
The U of Michigan	Indiana U	1
The U of Michigan	U of Pennsylvania	2
The U of Michigan	U of Michigan	1
U of Cincinnati	Arizona State U	1
U of Cincinnati	U of Texas-Pan American	1
U of Cincinnati	U of Wisconsin-Whitewater	1
U of Cincinnati	Minnesota State U Mankato	1
U of Cincinnati	Central Connecticut State U	1
U of Cincinnati	The Ohio State U	1
U of Cincinnati	U of Cincinnati	12
U of Cincinnati	Purdue U	1
U of Cincinnati	DePaul U	1
U of Cincinnati	National U of Singapore	1
U of Cincinnati	Universita' degli Studi di Sassari	1
U of Cincinnati	Ohio	1
U of Cincinnati	U of Minnesota	1
U of Cincinnati	Ohio State U	1
U of Waikato	Fairfield U	1
U of Waikato	Rauawaawa Kaumatua Charitable Trust	2
U of Waikato	U of Waikato	7
U of Waikato	California State U - Fullerton	1
U of Waikato	Central China Normal U	1
U of Waikato	Waikato Tainui College	2
The Chinese U of Hong Kong	U of Alabama	2
The Chinese U of Hong Kong	Hong Kong Baptist U	1
The Chinese U of Hong Kong	U of Florida	1
The Chinese U of Hong Kong	U of Texas at Austin	1
The Chinese U of Hong Kong	The Chinese U of Hong Kong	37
The Chinese U of Hong Kong	U of Vienna	1
The Chinese U of Hong Kong	Room 517	1
The Chinese U of Hong Kong	U of Tampere	1
The Chinese U of Hong Kong	Hongik U	2
The Chinese U of Hong Kong	Sun Yat-sen U	1
The Chinese U of Hong Kong	Chinese U of Hong Kong	5
The Chinese U of Hong Kong	Texas State U	3
West Virginia U	Syracuse U	1
West Virginia U	Hofstra U	1
West Virginia U	North Dakota State U	2
West Virginia U	Hongik U	1
West Virginia U	Shanghai Jiao Tong U	2
West Virginia U	Korea U	1
West Virginia U	West Virginia U	35
West Virginia U	U of South Carolina	2
West Virginia U	Colorado State U	3
West Virginia U	U of Georgia	1
West Virginia U	Georgia State U	1
West Virginia U	U of Maryland	4
Webster U	Webster U	2
Webster U	U of Oregon	2
Webster U	U of Missouri	3
U of Dallas	U of Utah	4
U of Dallas	U of Dallas	1
U of Dallas	Moffitt Cancer Center	1
U of Wisconsin - Madison	Iona College	2
U of Wisconsin - Madison	U of Wisconsin-Madison	19
U of Wisconsin - Madison	U of Wisconsin - Madison	9
Denver Health	U of Connecticut	2
Denver Health	U of Maryland	2
Denver Health	Denver Health	2
U of Colorado - Boulder	U of Colorado - Boulder	7
U of Colorado - Boulder	U of Colorado	1
Ithaca College	U of North Carolina - Chapel Hill	2
Ithaca College	Ithaca College	1
U of the West Indies	U of the West Indies	1
U of the West Indies	U of West Indies	1
Indiana U Pennsylvania	Indiana U Pennsylvania	1
Indiana U Pennsylvania	Indiana U of Pennsylvania	2
Political Communication Lab (LACOP)	Political Communication Lab (LACOP)	1
Political Communication Lab (LACOP)	U Autónoma de Nuevo León	2
Morehouse U	U of Georgia	13
Morehouse U	Emory U	9
Morehouse U	Morehouse U	3
Morehouse U	Spelman College	3
IULM U	IULM U	1
IULM U	Aarhus U	1
IULM U	U of North Carolina - Charlotte	1
Rutgers WPF	Netherlands Youth Institute/Erasmus U Rotterdam	1
Rutgers WPF	Amsterdam School of Communication Research	1
Rutgers WPF	Rutgers WPF	1
Rutgers WPF	U of Amsterdam	1
Maastricht U	Maastricht U	10
Maastricht U	Radboud U	1
Maastricht U	ASCoR U of Amsterdam	3
Maastricht U	Northeastern U	1
Maastricht U	Radboud U Nijmegen	1
New York U	U of Westminster	1
New York U	New York U	17
New York U	Ohio U	1
New York U	U of California - Riverside	1
Swinburne U of Technology	Swinburne U of Technology	10
London School of Economics and Political Science	London School of Economics and Political Science	6
London School of Economics and Political Science	U of Twente / GW / CW	1
London School of Economics and Political Science	U of Oxford	1
Behavioural Science Institute	Radboud U Nijmegen	3
Behavioural Science Institute	Behavioural Science Institute	1
St. Lawrence U	St. Lawrence U	1
SUNY IT	SUNY IT	2
SUNY IT	U at Buffalo - SUNY	2
SUNY IT	U of Pennsylvania	2
SUNY IT	U of San Francisco	2
U of West Indies	U of the West Indies	1
U of West Indies	U of West Indies	1
Oklahoma City U	Oklahoma City U	1
U of Northern Colorado	U of Northern Colorado	3
U of Illinois Urbana-Champaign	U of Illinois Urbana-Champaign	1
Goldsmiths College U of London	U of Leicester	1
Goldsmiths College U of London	Goldsmiths U of London	1
Goldsmiths College U of London	Goldsmiths College U of London	2
Universite de Montreal	U de Montreal	2
Universite de Montreal	Universite de Montreal	4
U of Canterbury	U of Canterbury	3
U of Canterbury	Osaka U	2
U of Minnesota Twin Cities	U of Minnesota Twin Cities	1
U of Minnesota Twin Cities	Indiana U	1
U of Vienna	German Sport U Cologne	2
U of Vienna	U of Vienna	128
U of Vienna	National School of Political and Administrative Studies	1
U of Vienna	U of Amsterdam ASCOR	1
U of Vienna	ASCoR U of Amsterdam	2
U of Vienna	U of Bremen Centre for Media Communication and Information Research (ZeMKI)	1
U of Vienna	U of Amsterdam / ASCoR	2
U of Vienna	The Chinese U of Hong Kong	1
U of Vienna	U of Hamburg	2
U of Vienna	U of Amsterdam	10
U of Vienna	LMU Munich	13
U of Vienna	U of Texas at Austin	1
U of Vienna	VU U Amsterdam	1
U of Vienna	Comenius U Bratislava	1
U of Vienna	Austrian Academy of Sciences - Institute for Comparative Media and Communication Studies	3
U of Vienna	U of Zurich	6
U of Vienna	Johannes Gutenberg U	2
ARC Centre of Excellence for Creative Industries and Innovation	ARC Centre of Excellence for Creative Industries and Innovation	2
U of Kassel	U of Koblenz-Landau	4
U of Kassel	U of Kassel	4
U of Bremen Centre for Media Communication and Information Research (ZeMKI)	Centre for Media Communication and Information Research U of Bremen	1
U of Bremen Centre for Media Communication and Information Research (ZeMKI)	U of Bremen Centre for Media Communication and Information Research (ZeMKI)	4
U of Bremen Centre for Media Communication and Information Research (ZeMKI)	U of Vienna	1
U of Bremen Centre for Media Communication and Information Research (ZeMKI)	U of Texas - Austin	1
U of Bremen Centre for Media Communication and Information Research (ZeMKI)	U of Erfurt	1
KAIST	KAIST	41
KAIST	Washington State U	1
U della Svizzera italian	Universita' della Svizzera Italiana	2
U della Svizzera italian	U della Svizzera italian	10
U della Svizzera italian	U of Erfurt	1
U della Svizzera italian	LMU Munich	1
U della Svizzera italian	Bocconi U	2
U della Svizzera italian	Universita della Svizzera italiana	1
U of Houston–Downtown	U of Houston–Downtown	1
Bowie State U	Bowie State U	2
Catholic U of America	Catholic U of America	1
Democritus U of Thrace	U of Malaga	1
Democritus U of Thrace	Aristotle U of Thessaloniki	2
Democritus U of Thrace	U Rey Juan Carlos	1
Democritus U of Thrace	Democritus U of Thrace	1
U Diego Portales	Universidad Diego Portales	3
U Diego Portales	Pontificia U Católica de Chile	1
U Diego Portales	Media and Communication	1
U Diego Portales	Pontificia Universidad Catolica de Chile	1
U Diego Portales	U Diego Portales	9
U of Warsaw	U of Warsaw	1
U of Warsaw	U of Wroclaw	1
U of Tampere	The Chinese U of Hong Kong	1
U of Tampere	U of Tampere	16
U of Tampere	Trent U	2
U of the Witwatersrand Johannesburg	U of the Witwatersrand Johannesburg	2
U of California San Diego	U of California San Diego	1
Eastern Connecticut State U	Eastern Connecticut State U	1
Eastern Connecticut State U	Eastern Michigan U	1
Weber State U	Weber State U	1
U of Osnabrueck	U Koblenz-Landau	1
U of Osnabrueck	Ars Electronica Futurelab	1
U of Osnabrueck	U of Osnabrueck	1
U of Osnabrueck	U of Koblenz-Landau	2
U of Sydney	U of Sydney	1
UW Madison	UW Madison	1
VU U	Technical U - Dresden	1
VU U	VU U - Amsterdam	1
VU U	VU U Amsterdam	3
VU U	VU U	4
VU U	Ohio State U	7
U of Jyvaskyla Dept. of COM.	U of Jyvaskyla Dept. of COM.	1
Jacksonville U	U of Minnesota - Duluth	1
Jacksonville U	Jacksonville U	1
Common Sense Media	Common Sense Media	1
U of Bielefeld	Hanover U of Music Drama and Media	1
U of Bielefeld	U of Freiburg	1
U of Bielefeld	U of Music	1
U of Bielefeld	U of Music Drama and Media (Department of Journalism and Communication Research)	1
U of Bielefeld	U of Erfurt	1
U of Bielefeld	U of Bielefeld	3
U of North Carolina - Wilmington	U of North Carolina - Wilmington	1
Rauawaawa Kaumatua Charitable Trust	Rauawaawa Kaumatua Charitable Trust	1
Rauawaawa Kaumatua Charitable Trust	U of Waikato	2
Rauawaawa Kaumatua Charitable Trust	Waikato Tainui College	1
Open U of Israel	Open U of Israel	4
Massey U	Southern Methodist U	2
Massey U	George Mason U	4
Massey U	Metropolitan State U of Denver	1
Massey U	Massey U	16
Massey U	Utah State U	2
Massey U	National U of Singapore	3
Massey U	Yale U	2
UNCW	Georgia Tech	2
UNCW	Georgia Institute of Technology	1
UNCW	UNCW	1
U of Milan-Bicocca	U of Naples	1
U of Milan-Bicocca	U of Milan-Bicocca	1
LMU Munich	Augsburg U	2
LMU Munich	U of Vienna	13
LMU Munich	U of Fribourg	1
LMU Munich	U della Svizzera italian	1
LMU Munich	U of Freiburg	1
LMU Munich	U of Mainz	2
LMU Munich	U of Duesseldorf	2
LMU Munich	U of Wisconsin-Madison	2
LMU Munich	Pennsylvania State U	2
LMU Munich	Jacobs U Bremen	1
LMU Munich	Hebrew U of Jerusalem	1
LMU Munich	UNIVERSITE LIBRE DE BRUXELLES	3
LMU Munich	U of Erfurt	1
LMU Munich	LMU Munich	132
LMU Munich	U of Antwerp	2
LMU Munich	U of Mannheim	2
LMU Munich	U of Zurich	1
LMU Munich	Queensland U of Technology	2
LMU Munich	U of Jena	4
LMU Munich	U of the Federal German Army	2
LMU Munich	Hans Bredow Institute	3
LMU Munich	Johannes Gutenberg U	2
PVI	Portland State U	1
PVI	PVI	1
U of Helsinki	U of Macau	1
U of Helsinki	U of Helsinki	1
Behavioural Science Institute / Radboud U Nijmegen	U of Twente	1
Behavioural Science Institute / Radboud U Nijmegen	Radboud U Nijmegen	2
Behavioural Science Institute / Radboud U Nijmegen	Behavioural Science Institute / Radboud U Nijmegen	1
Department of Media Studies / U of Tuebingen	Department of Media Studies / U of Tuebingen	1
U Rey Juan Carlos	U of Malaga	1
U Rey Juan Carlos	Aristotle U of Thessaloniki	2
U Rey Juan Carlos	U Rey Juan Carlos	10
U Rey Juan Carlos	Democritus U of Thrace	1
U of Texas - Dallas	U of Texas - Dallas	5
U of Texas - Dallas	U of Texas - Austin	2
Leiden U	VU U Amsterdam	2
Leiden U	Leiden U	12
Leiden U	ASCoR U of Amsterdam	6
Leiden U	U of Amsterdam	3
Leiden U	U of Groningen	1
U of Salford	U of Antwerp	2
U of Salford	U of Salford	1
U of Salford	U of Perugia	1
U of Salford	U di Perugia	1
Virginia Commonwealth U	AIDS Help Inc.	3
Virginia Commonwealth U	Tulane U	3
Virginia Commonwealth U	U of Memphis	2
Virginia Commonwealth U	Camp Rehoboth	3
Virginia Commonwealth U	U of Maryland	2
Virginia Commonwealth U	Medical College of Wisconsin	3
Virginia Commonwealth U	Highpoint U	1
Virginia Commonwealth U	U of Denver	3
Virginia Commonwealth U	U of Colorado - Denver	3
Virginia Commonwealth U	U of Georgia	1
Virginia Commonwealth U	Virginia Commonwealth U	16
Virginia Commonwealth U	NO/AIDS Task Force	6
Koc U	California State U - San Bernardino	1
Koc U	Koc U	1
U of Massachusetts Amhert	U of Massachusetts Amhert	1
Tulane U	Tulane U	3
Tulane U	AIDS Help Inc.	1
Tulane U	Camp Rehoboth	1
Tulane U	Medical College of Wisconsin	1
Tulane U	U of Denver	1
Tulane U	U of Colorado - Denver	1
Tulane U	USP	1
Tulane U	Virginia Commonwealth U	3
Tulane U	NO/AIDS Task Force	2
U of North Carolina Wilmington	U of North Carolina Wilmington	3
U of North Carolina Wilmington	Wake Forest U	3
U of North Carolina Wilmington	Vanderbilt U	1
U de Málaga	U Libre de Bruxelles	1
U de Málaga	U de Málaga	1
U de Málaga	U Ramon Llull	1
UC-Santa Barbara	UC-Santa Barbara	2
UC-Santa Barbara	U of California - Santa Barbara	2
Johns Hopkins U	U of Pennsylvania	2
Johns Hopkins U	Johns Hopkins U	6
Johns Hopkins U	U of Maryland	2
Johns Hopkins U	Boston U	1
Johns Hopkins U	Chinese U of Hong Kong	1
Johns Hopkins U	George Washington U	6
Shanghai International Studies U	Shanghai International Studies U	1
Shanghai International Studies U	Temple U	1
SUNY-Buffalo	SUNY - Buffalo	2
SUNY-Buffalo	SUNY-Buffalo	2
SUNY-Buffalo	U at Buffalo State U of New York	2
Miami U - Ohio	Miami U - Ohio	3
Miami U - Ohio	U of California - Santa Barbara	1
Federal U of Minas Gerais (UFMG)	U Federal de Minas Gerais	3
Federal U of Minas Gerais (UFMG)	U of Amazonia (Unama)	1
Federal U of Minas Gerais (UFMG)	Federal U of Minas Gerais (UFMG)	1
Federal U of Minas Gerais (UFMG)	FEDERAL UNIVERSITY OF MINAS GERAIS	1
Washington State U	UMass Amherst School of Public Health and Health Sciences	1
Washington State U	U of Haifa	1
Washington State U	KAIST	1
Washington State U	U of Massachusetts - Amherst	1
Washington State U	Augsburg U	1
Washington State U	Michigan State U	4
Washington State U	Washington State U	44
Washington State U	Pennsylvania State U	3
Washington State U	Penn State U	1
Washington State U	U of Maine	1
Huatian Technology Corporation	Huatian Technology Corporation	1
Baruch College - CUNY	Loyola U Maryland	1
Baruch College - CUNY	Baruch College - CUNY	3
Kent State U	Purdue U	1
Kent State U	U of Wisconsin-Milwaukee	1
Kent State U	Wuhan U	2
Kent State U	National Chiao Tung U	1
Kent State U	Nanyang Technological U	2
Kent State U	Kent State U	14
U of St. Gallen	U of St Gallen	2
U of St. Gallen	Hohenheim U	1
U of St. Gallen	U of St. Gallen	25
U of St. Gallen	U of St.Gallen	1
U of St. Gallen	BI Norwegian Business School	2
ASCoR U of Amsterdam	Maastricht U	3
ASCoR U of Amsterdam	ASCoR U of Amsterdam	85
ASCoR U of Amsterdam	Amsterdam Medical Centre U of Amsterdam	2
ASCoR U of Amsterdam	U of Wisconsin-Milwaukee	1
ASCoR U of Amsterdam	Radboud U	2
ASCoR U of Amsterdam	VU U Amsterdam	2
ASCoR U of Amsterdam	Amsterdam School of Communication Research	2
ASCoR U of Amsterdam	U of Haifa	1
ASCoR U of Amsterdam	U of Vienna	2
ASCoR U of Amsterdam	U of Maastricht	1
ASCoR U of Amsterdam	Fors Marsh Group	3
ASCoR U of Amsterdam	ASCoR / U of Amsterdam	1
ASCoR U of Amsterdam	NHTV Breda U of Applied Sciences	1
ASCoR U of Amsterdam	U of Amsterdam / ASCoR	7
ASCoR U of Amsterdam	Radboud Universiteit Nijmegen	1
ASCoR U of Amsterdam	Amsterdam School of Communication Research/ U of Amsterdam	6
ASCoR U of Amsterdam	Utrecht U	1
ASCoR U of Amsterdam	Leiden U	6
ASCoR U of Amsterdam	U of Amsterdam ASCOR	2
ASCoR U of Amsterdam	U of Gothenburg	1
ASCoR U of Amsterdam	U of Amsterdam	37
ASCoR U of Amsterdam	Radboud U Nijmegen	1
ASCoR U of Amsterdam	Trimbos Institute Netherlands Institute for Mental Health and Addiction	2
ASCoR U of Amsterdam	Academic Medical Center U of Amsterdam	7
U of Colorado - Denver	Tulane U	1
U of Colorado - Denver	AIDS Help Inc.	1
U of Colorado - Denver	Camp Rehoboth	1
U of Colorado - Denver	Medical College of Wisconsin	1
U of Colorado - Denver	U of Denver	1
U of Colorado - Denver	U of Colorado - Denver	1
U of Colorado - Denver	Virginia Commonwealth U	3
U of Colorado - Denver	NO/AIDS Task Force	2
Miami U	U of Iowa	1
Miami U	Miami U	1
The College at Brockport - SUNY	The College at Brockport - SUNY	1
Mikonics	San Diego State U	1
Mikonics	U of Alabama	1
Mikonics	Klein Buendel Inc.	2
Mikonics	Mikonics	1
U of North Georgia	UNC-CH	1
U of North Georgia	U of North Georgia	1
Stonehill College	Northeastern U	1
Stonehill College	Stonehill College	1
JiangHuai Magazine	U of Wyoming	1
JiangHuai Magazine	JiangHuai Magazine	1
Texas A and M U	New School of Public Engagement	1
Texas A and M U	Texas A&M U	2
Texas A and M U	Hope College	1
Texas A and M U	Texas A and M U	6
Loughborough U	Loughborough U	1
CICANT-ULHT	U Lusófona	1
CICANT-ULHT	Lusofona U	2
CICANT-ULHT	CICANT-ULHT	1
UMass Boston	U of Wyoming	1
UMass Boston	U of Connecticut	1
UMass Boston	UMass Boston	3
UMass Boston	Iowa State U	1
UMass Boston	U of Maryland	1
New Jersey Institute of Technology	New Jersey Institute of Technology	2
New Jersey Institute of Technology	School of Information	1
New Jersey Institute of Technology	Illinois State U	2
New Jersey Institute of Technology	U of Michigan	1
Technische Universitt Dresden	TU Dresden	4
Technische Universitt Dresden	Technische Universitt Dresden	2
Montclair State U	Syracuse U	2
Montclair State U	Montclair State U	2
Montclair State U	U of Oklahoma	2
U of Augsburg	U of Augsburg	1
U Catolica de la Santisima Concepcion	U Catolica de la Santisima Concepcion	1
U Catolica de la Santisima Concepcion	U of Quebec in Montreal (UQAM)	1
Southern Illinois U Edwardsville	Southern Illinois U Edwardsville	2
U of Maastricht	ASCoR U of Amsterdam	1
U of Maastricht	U of Amsterdam	2
U of Maastricht	U of Maastricht	1
Rensselaer Polytechnic Institute	Syracuse U	1
Rensselaer Polytechnic Institute	U of Southern California	5
Rensselaer Polytechnic Institute	Rensselaer Polytechnic Institute	1
City U of Hong Kong	Hong Kong Baptist U	11
City U of Hong Kong	City U of Hong Kong	44
City U of Hong Kong	Nanjing U	1
City U of Hong Kong	Howard U	1
City U of Hong Kong	City U - Hong Kong	1
City U of Hong Kong	Hong Kong Polytechnic U	1
City U of Hong Kong	Nanyang Technological U	2
City U of Hong Kong	Department of Media and Communication	1
City U of Hong Kong	U of Michigan	2
U of Liverpool	Sheffield Hallam U	2
U of Liverpool	U of Liverpool	1
National Chengchi U	National Chengchi U	3
U of Malta	U of Malta	1
U of Malta	U Nova de Lisboa	1
Roskilde U	Lund U	4
Roskilde U	Roskilde U	6
Roskilde U	U of Southern Denmark	2
Western Michigan U	U of Tennessee	1
Western Michigan U	North Dakota State U	1
Western Michigan U	Western Michigan U	18
Western Michigan U	U of Connecticut	1
Western Michigan U	Pennsylvania State U	2
Western Michigan U	U of Kentucky	5
U of South Carolina	Midlands Technical College	2
U of South Carolina	West Virginia U	2
U of South Carolina	U of Southern California	3
U of South Carolina	Georgian Institute of Public Affairs	2
U of South Carolina	Michigan State U	1
U of South Carolina	U of South Carolina	16
U of South Carolina	Pennsylvania State U	1
Ben-Gurion U of the Negev	Ben Gurion U of the Negev	17
Ben-Gurion U of the Negev	Lusofona U	1
Ben-Gurion U of the Negev	U Lusófona	1
Ben-Gurion U of the Negev	Hebrew U - Mt. Scopus	1
Ben-Gurion U of the Negev	College of Management Academic Studies	1
Ben-Gurion U of the Negev	Ben-Gurion U of the Negev	24
U of Washington	U of Texas	2
U of Washington	U of Wisconsin-Madison	1
U of Washington	Fundacion Democracia y Desarrollo	1
U of Washington	U of Maryland	1
U of Washington	Rutgers U	1
U of Washington	Columbia U	2
U of Washington	Central European U	1
U of Washington	U of Washington	23
Annenberg School for Communication at the U of Pennsylvania	Annenberg School for Communication at the U of Pennsylvania	1
Zayed U	Zayed U	1
Deakin U	Deakin U	1
Deakin U	U of Canberra	1
Deakin U	U of Wollongong	1
Wake Forest U	U of North Carolina Wilmington	3
Wake Forest U	U of Iowa	2
Wake Forest U	Wake Forest U	16
Wake Forest U	VU U Amsterdam	2
Wake Forest U	Northwestern U	3
George Washington U	Northeastern U	2
George Washington U	U of Pennsylvania	2
George Washington U	Western Illinois U	1
George Washington U	Johns Hopkins U	6
George Washington U	U of Illinois - Chicago	2
George Washington U	U of Maryland	6
George Washington U	Michigan State U	5
George Washington U	U of Denver	1
George Washington U	American U	4
George Washington U	Boston U	1
George Washington U	George Washington U	32
U of Buffalo	U of Buffalo - SUNY	1
U of Buffalo	U of Illinois at Urbana–Champaign	1
U of Buffalo	U of Illinois at Urbana-Champaign	1
U of Buffalo	U of Buffalo	1
Media Psychology U of Wuerzburg	Media Psychology U of Wuerzburg	1
U of Minnesota-Twin Cities	U of Minnesota-Twin Cities	1
U of Cologne	Erasmus U Rotterdam	4
U of Cologne	U of Cologne	39
U of Cologne	Michigan State U	2
U of Cologne	Ruhr U Bochum	1
U of Cologne	U of Mannheim	10
U of Cologne	The U of Munster	1
U of Cologne	U of Muenster	2
UNESP-Faculdade de Filosofia e Letras	UNESP-Faculdade de Filosofia e Letras	1
UNESP-Faculdade de Filosofia e Letras	U of Texas - Austin	1
San Diego State U	U of Alabama	1
San Diego State U	U of Southern California	2
San Diego State U	U of Texas at Austin	1
San Diego State U	California State U Channel Islands	1
San Diego State U	U of Southern California - Annenberg School for Communication	2
San Diego State U	Mikonics	1
San Diego State U	UT Austin	1
San Diego State U	San Diego State U	24
San Diego State U	Texas State U	1
San Diego State U	Ohio State U	1
San Diego State U	Klein Buendel Inc.	18
American U	Independent Researcher	1
American U	U of Missouri	2
American U	George Washington U	4
American U	Missouri School of Journalism	1
American U	Johns Hopkins SAIS	1
American U	Southern Illinois U	2
American U	American U	21
American U	U of Kansas	1
American U	Missouri	1
Hohenheim U	Hohenheim U	1
Hohenheim U	BI Norwegian Business School	1
Hohenheim U	U of St.Gallen	1
Hohenheim U	U of St. Gallen	1
Zurich U of Applied Sciences	Nanyang Technological U	1
Zurich U of Applied Sciences	Zurich U of Applied Sciences	1
UT Austin	Texas State U	1
UT Austin	UT Austin	1
UT Austin	U of Texas at Austin	1
UT Austin	San Diego State U	1
Media Ecology Association	Media Ecology Association	1
Communication U of China	Centre for Interdisciplinary Studies in Society and Culture Concordia U	1
Communication U of China	Communication U of China	6
U of North Carolina - Charlotte	U of Texas at San Antonio	1
U of North Carolina - Charlotte	IULM U	1
U of North Carolina - Charlotte	U of Pennsylvania	2
U of North Carolina - Charlotte	U of North Carolina - Charlotte	6
U of North Carolina - Charlotte	Aarhus U	1
ASCoR - U of Amsterdam	ASCoR - U of Amsterdam	4
ASCoR - U of Amsterdam	U of Leuven - School for Mass Communication Research	2
ASCoR - U of Amsterdam	U of Leuven	1
ASCoR - U of Amsterdam	U of Amsterdam	5
U of Montana	U of Montana	1
Initiative for Children and Families ASSMCA	Initiative for Children and Families ASSMCA	1
Central Washington U	Central Washington U	1
Kookmin U	Kookmin U	1
Kookmin U	U of Maryland	1
California State U Fullerton	California State U Fullerton	1
The Hebrew U of Jerusalem	Hebrew U of Jerusalem	3
The Hebrew U of Jerusalem	The Hebrew U of Jerusalem	4
The Hebrew U of Jerusalem	Hebrew U	2
The Hebrew U of Jerusalem	U of Antwerp	1
Dartmouth College	St Cloud State U	1
Dartmouth College	Dartmouth College	1
Dartmouth College	U of Massachusetts	2
U  Libre de Bruxelles	UNIVERSITE LIBRE DE BRUXELLES	2
U  Libre de Bruxelles	U  Libre de Bruxelles	2
U of Duisburg - Essen	U Duisburg-Essen	4
U of Duisburg - Essen	Pennsylvania State U	1
U of Duisburg - Essen	U of Duisburg - Essen	5
U of Duisburg - Essen	Chapman U	1
U of Duisburg - Essen	U of Duisburg-Essen	8
Technical U - Dresden	Technical U of Dresden	2
Technical U - Dresden	Ohio State U	5
Technical U - Dresden	U of Technology Dresden	1
Technical U - Dresden	VU U	1
Technical U - Dresden	Technical U - Dresden	4
St. Norbert College	St. Norbert College	2
St. Norbert College	Pennsylvania State U	1
St. Norbert College	Florida International U	1
St. Norbert College	Towson U	2
Eastern Michigan U	Eastern Connecticut State U	1
Eastern Michigan U	U of Arizona	1
Eastern Michigan U	Eastern Michigan U	2
U of Perugia	U of Antwerp	2
U of Perugia	U of Salford	1
U of Perugia	U of Perugia	1
U of Perugia	U di Perugia	1
Hofstra U	Syracuse U	1
Hofstra U	West Virginia U	1
Hofstra U	Hofstra U	1
Hofstra U	Colorado State U	2
Independent Researcher	Independent Researcher	1
Independent Researcher	American U	1
Independent Researcher	U of Kansas	1
TCU	Wayne State U	2
TCU	TCU	2
TCU	U of Kentucky	2
U of Amsterdam ASCOR	U of Vienna	1
U of Amsterdam ASCOR	Amsterdam School of Communication Research	2
U of Amsterdam ASCOR	U of Amsterdam	1
U of Amsterdam ASCOR	Comenius U Bratislava	1
U of Amsterdam ASCOR	ASCoR U of Amsterdam	2
U of Amsterdam ASCOR	U of Amsterdam ASCOR	3
